"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"OGT",124.9446,104.7893,141.5969,128.0122,135.5825,91.72482,108.5124,144.2258,131.5643,145.3921,157.6693,69.48522,123.2602
"OLR1",6.529994,3.341008,3.752417,12.79423,4.274957,7.74028,4.105122,3.16757,1.322078,0.498798,2.256389,21.15989,21.7196
"ONECUT1",0,0.0467583,0.0919013,0,0,0.081304,0,0.0481777,0,0.0435911,0.059046,0,0
"OPRD1",0.218774,0.323705,0.349669,0.846592,0.315909,0.24762,0.242339,0.49539,0.361175,0.155242,0.200146,0.360167,0.317374
"OPRK1",0.0410272,0.0196981,0,0.0364277,0.0195513,0.0347747,0.0369146,0.0612606,0,0.0186141,0.0247637,0,0
"OPRM1",1.26345,1.593056,0.405281,0.200113,0.958209,0.741663,0.777711,0.90398,0.401884,0.3401133,0.168434,0.9957317,0.968737
"OPTN",62.74184,67.42088,66.82323,65.77849,43.82021,49.65424,55.55235,53.48303,49.28731,49.50886,60.84429,40.4976,42.46527
"ORAI1",13.09727,8.367217,21.7551,15.8651,14.2417,15.2416,20.3933,25.8931,35.9682,25.9964,33.36914,19.9364,15.2103
"ORM1",3.335,3.164432,3.67697,2.961209,2.971232,2.45179,8.87677,3.20413,2.065144,1.620481,5.32132,8.56749,11.49405
"ORM2",3.25957,0.869894,2.29791,2.52807,2.08474,0.982124,1.79759,1.99641,2.68635,2.48063,0.296188,1.11507,2.7261
"OSCAR",26.89258,46.91552,42.07622,57.37934,52.29928,40.77749,49.19555,52.06539,44.20202,59.98266,51.82625,49.89873,30.84345
"OSM",60.04066,206.8468,208.3869,192.9963,136.7315,312.0486,132.4383,21.68055,34.11248,7.97715,13.00827,292.6194,386.1022
"OSTM1",62.34189,52.78307,55.3319,100.3894,59.50128,59.37456,43.08485,55.59616,40.94956,53.09724,51.94732,49.26376,47.28515
"OTUB1",125.7003,156.1166,130.8797,123.6516,147.4943,125.4118,107.0116,113.4935,105.6595,125.7732,110.0521,107.5429,127.6431
"OTUD4",7.233121,7.07976,12.39822,12.87026,10.74093,9.168468,6.71757,7.643543,10.29961,11.28543,10.91521,9.759618,10.25574
"OTUD7B",1.481719,0.960172,0.921513,1.512773,1.074419,0.972646,0.823226,1.465366,1.40969,1.056888,0.983185,0.897671,1.018359
"OTULIN",3.88583,4.37173,6.447601,5.66731,7.381526,9.82377,5.783292,6.8308,10.2718,12.33914,7.673409,7.789688,6.306313
"OXSR1",13.23228,8.364566,13.81576,12.74078,12.18789,12.22912,10.17542,10.86143,10.45387,9.724982,7.51408,16.15303,15.87625
"P2RX4",39.76115,66.05197,56.37175,58.10959,52.59886,59.34688,37.99471,38.29497,33.61642,36.46671,29.41449,36.44184,44.54835
"P2RX7",22.47777,26.38343,28.88665,27.27576,24.91655,13.28615,25.70378,20.1234,17.11384,36.96964,22.58392,28.45601,14.54585
"P2RY12",10.47886,7.849017,10.0227,4.15465,8.23147,4.84929,4.99643,4.17091,5.93938,3.48632,5.44217,8.95349,6.92771
"P4HTM",17.18608,17.99902,22.78273,26.80489,13.29491,16.63874,17.45867,26.81137,21.52389,29.63707,27.58242,14.43336,23.50951
"PABPC4",62.92071,32.81381,86.78994,58.67914,65.1568,59.56786,36.61505,45.41626,54.64677,50.19254,38.58877,61.10891,48.23334
"PADI2",7.228662,24.03849,17.73569,39.5303,11.99449,9.06876,14.623,8.46356,8.356367,16.06473,21.57177,17.70951,20.13053
"PADI4",102.57,187.2889,172.9557,152.8535,110.4332,122.9584,105.0251,151.8505,117.4774,32.9731,126.521,174.8619,127.5635
"PAF1",35.45183,48.20384,40.88026,51.85912,42.08281,50.05228,41.40539,32.4591,34.69588,47.55886,42.36823,62.04805,53.76944
"PAFAH1B1",26.45125,39.81594,47.53807,33.73705,49.56127,29.46415,22.98136,29.0011,35.54227,35.72315,27.30272,32.43238,44.8455
"PAG1",29.05202,22.8369,25.81678,26.4428,35.51882,26.25307,29.61872,40.22953,32.58046,30.41316,37.20368,36.35247,39.47584
"PAK1",102.9079,185.579,100.51,148.7643,143.2512,112.725,100.8542,89.44434,99.07181,103.0829,133.78,114.4382,132.2662
"PAK2",51.13845,50.0531,40.11656,54.2879,38.03922,53.63389,40.61134,67.57367,60.63769,60.8077,56.302,56.69968,47.10318
"PAK3",0.261058,0.074181,0.14288,0.4895348,0.0927226,0.0810436,0.0384437,0.0108726,0.0395837,0.0824879,0.2892887,0.3937074,0.070749
"PANX1",8.05442,8.88558,10.3167,14.7077,6.17404,5.28132,8.00318,7.98731,8.09145,7.64393,6.83816,6.30119,9.52644
"PARK7",192.4044,132.0109,156.0733,136.7721,180.5741,154.9656,146.7312,187.9363,173.6937,166.691,137.4376,160.0924,161.2583
"PARP1",78.92654,73.50718,73.53977,66.44508,91.16887,57.2635,76.54139,87.69567,74.25036,71.83653,95.81269,49.58684,79.43549
"PARP14",32.30043,61.88015,25.83181,29.32039,33.8438,24.4756,56.47981,30.36551,26.68033,33.27642,31.00941,30.78297,25.20784
"PARP3",11.31409,9.014386,11.47992,6.554014,10.21545,7.951668,12.13151,10.19735,11.17281,12.76368,12.67679,15.78737,8.189315
"PARP9",58.77797,140.9572,61.52116,69.93925,65.3899,49.88761,146.4209,48.09683,71.28288,70.86673,69.0904,40.45618,44.51115
"PATZ1",6.841434,9.573415,8.779631,14.49269,9.439065,5.821894,10.27456,8.364781,13.65343,10.71947,5.46962,5.932521,10.34966
"PAWR",1.48369,4.03529,3.594648,1.730721,4.0803,4.560579,3.089489,6.504443,3.105105,2.638579,2.427293,2.470213,2.085225
"PAX5",7.29187,1.793503,5.277387,1.83355,3.968118,11.16514,8.329633,22.93459,8.465154,7.180456,13.92347,4.06354,6.535757
"PAXIP1",4.481989,3.562597,2.674497,4.908775,3.466769,4.427157,3.444428,4.446705,5.461603,2.510579,3.455241,2.721759,2.56802
"PBRM1",15.73152,14.35783,21.52776,27.59982,14.54078,16.66905,23.72723,29.58147,28.93463,21.12717,20.10961,19.83084,26.53062
"PBX1",16.31747,7.875266,14.04062,6.821099,10.24954,4.710902,6.593297,9.532282,12.03986,7.215215,7.123331,10.98914,12.54389
"PBXIP1",79.45961,50.58485,90.53883,93.69285,100.7883,102.0516,66.04813,101.7198,92.9882,64.50262,97.47767,72.44433,73.59271
"PCBP2",158.3923,125.6129,176.0039,149.9668,140.7924,147.5394,118.62,101.3126,120.834,129.9963,109.9142,133.4986,95.24639
