"from","to","strength","direction"
"IL10","PLK2",0.75,0.775833333333333
"IL1RN","TNF",0.96,0.96
"RBPJ","SELENOS",0.81,0.853333333333333
"AKIRIN1","NUP85",0.71,0.869583333333333
"C5","EDNRB",0.7,0.8925
"C5AR1","THBS1",0.71,0.656666666666667
"MAPK1","DDT",0.73,0.549166666666667
"ROR2","TRIM55",0.72,0.896666666666667
"ERCC1","MAD2L2",0.74,0.777916666666667
"LIG4","NBN",0.7,0.8225
"RIF1","SWAP70",0.74,0.680833333333333
"B4GALT1","CXCR4",0.84,0.995
"NCK2","RTN4",0.78,0.8575
"CYP19A1","PLK2",0.78,0.915
"ESRRA","PIAS3",0.78,0.705833333333333
"MTOR","TCTA",0.71,0.644166666666667
"FAXDC2","MPIG6B",0.85,0.97
"FLI1","L3MBTL1",0.77,0.832083333333333
"FLI1","UBA5",0.87,0.876666666666667
"AIF1","TRIM32",0.7,0.796666666666667
"EIF2AK2","OAS3",0.71,0.859166666666667
"HIF1A","SELENOK",0.71,1
"IL1RL1","WNT5A",0.7,0.733333333333333
"CD55","ZC3H12A",0.7,0.585
"DUSP22","NDFIP1",0.76,0.915833333333333
"HSP90AA1","PAK1",0.77,0.774166666666667
"NLRC4","STING1",0.83,0.815
"IFITM1","IFITM2",0.72,0.910833333333333
"ACOD1","CCL26",0.74,0.964583333333333
"CCL1","GBP1",0.73,0.983333333333333
"CD40","OTUD4",0.73,0.796666666666667
"CYBA","PRKCA",0.78,0.864166666666667
"MYC","XCL2",0.72,0.81
"C5AR1","GPR183",0.72,0.8025
"CCR1","SCIMP",0.77,0.78
"DDX3X","DHX36",0.84,0.909166666666667
"OAS1","DDX58",0.81,0.5075
"OAS3","ISG15",0.74,0.740833333333333
"ADARB1","TYRO3",0.7,0.776666666666667
"PTX3","ZFP36",0.78,0.715
"BPI","MMP8",0.7,0.841666666666667
"IL4R","PLA2G10",0.71,0.82
"HLA-B","PARP3",0.71,0.594166666666667
"CCL22","CCL24",0.73,0.805
"ATG5","IFIT1B",0.71,0.895833333333333
